nm_mes;nm_dia;nm_marca;nm_tipo_trecho;nm_sexo;nm_status_marital;nr_idade;fl_culpa_terceiros;nm_categoria_veiculo;nm_preco_veiculo;fl_fraude;nr_apolice;nm_cat_motorista;nr_outros_sinistros;nr_idade_veiculo;fl_testemunhas;nr_carros_envolvidos;nr_ano;nm_tipo_apolice
Dezembro;Segunda;Chevrolet;Urbano;Homem;Casado;74;0;Esportivo;90K até 150K;0;13295;Imprudente;nenhum;> 15 anos;0;1 carro;2023;Apenas Terceiro
Maio;Sábado;Chevrolet;Urbano;Homem;Casado;76;0;Sedan;90K até 150K;0;14978;Imprudente;de 2 até 4;> 15 anos;0;1 carro;2023;Apenas Casco
Setembro;Quinta;Chevrolet;Urbano;Mulher;Solteiro;19;0;Sedan;30K até 49K;0;13223;Imprudente;nenhum;1 até 2 anos;0;1 carro;2023;Apenas Casco
Julho;Sábado;Chevrolet;Urbano;Homem;Solteiro;19;0;Esportivo;30K até 49K;0;12553;Imprudente;1;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Dezembro;Sexta;Chevrolet;Urbano;Mulher;Solteiro;21;0;Sedan;30K até 49K;0;1516;Imprudente;mais do que 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Agosto;Segunda;Chevrolet;Urbano;Homem;Solteiro;21;0;Sedan;30K até 49K;0;4274;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Setembro;Domingo;Chevrolet;Urbano;Homem;Solteiro;21;0;Sedan;30K até 49K;1;6149;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Casco
Abril;Sexta;Chevrolet;Urbano;Homem;Solteiro;21;0;Sedan;30K até 49K;0;14441;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2023;Apenas Casco
Março;Sexta;Chevrolet;Urbano;Homem;Solteiro;21;0;Esportivo;30K até 49K;0;5553;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Janeiro;Domingo;Chevrolet;Urbano;Homem;Solteiro;21;1;Sedan;30K até 49K;0;5054;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Julho;Quinta;Chevrolet;Rural;Mulher;Solteiro;22;0;Esportivo;30K até 49K;0;2741;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Agosto;Segunda;Chevrolet;Urbano;Homem;Solteiro;22;0;Sedan;30K até 49K;1;5699;Imprudente;1;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Dezembro;Segunda;Chevrolet;Urbano;Homem;Solteiro;22;0;Sedan;30K até 49K;1;8846;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2022;Segurado + Terceiro
Outubro;Segunda;Chevrolet;Urbano;Homem;Solteiro;22;0;Sedan;30K até 49K;0;11498;Imprudente;nenhum;3 até 5 anos;0;1 carro;2023;Apenas Casco
Março;Segunda;Chevrolet;Urbano;Homem;Solteiro;22;1;Sedan;30K até 49K;0;1845;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Julho;Quarta;Chevrolet;Urbano;Homem;Casado;23;0;Sedan;30K até 49K;0;923;Imprudente;1;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Janeiro;Sábado;Chevrolet;Urbano;Homem;Solteiro;23;0;Sedan;30K até 49K;0;5223;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Dezembro;Sábado;Chevrolet;Urbano;Homem;Solteiro;23;0;Sedan;30K até 49K;0;11789;Imprudente;1;3 até 5 anos;0;1 carro;2023;Apenas Casco
Maio;Quinta;Chevrolet;Urbano;Homem;Solteiro;23;0;Esportivo;30K até 49K;0;10864;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Terceiro
Setembro;Domingo;Chevrolet;Urbano;Homem;Solteiro;23;1;Sedan;30K até 49K;0;3010;Imprudente;nenhum;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Julho;Quinta;Chevrolet;Urbano;Homem;Casado;23;1;Sedan;30K até 49K;0;11665;Imprudente;1;3 até 5 anos;0;1 carro;2023;Segurado + Terceiro
Setembro;Domingo;Chevrolet;Rural;Homem;Solteiro;24;1;Sedan;30K até 49K;0;4883;Imprudente;1;3 até 5 anos;0;1 carro;2021;Apenas Casco
Fevereiro;Sexta;Chevrolet;Urbano;Homem;Solteiro;24;0;Sedan;30K até 49K;0;3969;Imprudente;mais do que 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Outubro;Sábado;Chevrolet;Urbano;Homem;Solteiro;24;0;Sedan;30K até 49K;0;9609;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Casco
Fevereiro;Quinta;Chevrolet;Urbano;Homem;Solteiro;24;0;Sedan;30K até 49K;0;15321;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2023;Apenas Casco
Junho;Quarta;Chevrolet;Urbano;Homem;Solteiro;24;0;Sedan;30K até 49K;0;12464;Imprudente;nenhum;3 até 5 anos;0;1 carro;2023;Apenas Casco
Maio;Quarta;Chevrolet;Urbano;Homem;Solteiro;24;0;Esportivo;30K até 49K;0;13488;Imprudente;1;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Junho;Terça;Chevrolet;Urbano;Mulher;Solteiro;24;1;Sedan;30K até 49K;0;4436;Imprudente;nenhum;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Julho;Segunda;Chevrolet;Urbano;Homem;Solteiro;24;1;Sedan;30K até 49K;0;10214;Imprudente;nenhum;3 até 5 anos;0;1 carro;2022;Segurado + Terceiro
Setembro;Sábado;Chevrolet;Urbano;Homem;Solteiro;24;1;Sedan;30K até 49K;0;13359;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2023;Segurado + Terceiro
Abril;Sexta;Chevrolet;Urbano;Homem;Solteiro;25;0;Sedan;30K até 49K;1;3054;Imprudente;nenhum;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Maio;Sexta;Chevrolet;Urbano;Homem;Solteiro;25;0;Sedan;30K até 49K;0;997;Imprudente;1;3 até 5 anos;0;1 carro;2021;Apenas Casco
Agosto;Segunda;Chevrolet;Urbano;Homem;Solteiro;25;0;Esportivo;30K até 49K;0;2676;Imprudente;mais do que 4;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Abril;Sexta;Chevrolet;Rural;Homem;Casado;26;0;Sedan;30K até 49K;1;2485;Imprudente;nenhum;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Maio;Segunda;Chevrolet;Rural;Homem;Casado;26;0;Sedan;30K até 49K;0;11876;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Novembro;Segunda;Chevrolet;Rural;Homem;Solteiro;26;0;Sedan;30K até 49K;0;2760;Imprudente;nenhum;6 até 10 anos;0;1 carro;2021;Apenas Casco
Janeiro;Terça;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;1;9211;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Agosto;Sábado;Chevrolet;Urbano;Homem;Solteiro;26;0;Sedan;30K até 49K;0;13178;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Novembro;Quinta;Chevrolet;Urbano;Homem;Solteiro;26;0;Sedan;30K até 49K;0;4355;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Novembro;Sexta;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;14052;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2023;Apenas Casco
Novembro;Segunda;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;15253;Imprudente;nenhum;6 até 10 anos;0;3 até 4 carros;2023;Apenas Casco
Fevereiro;Sábado;Chevrolet;Urbano;Mulher;Casado;26;0;Esportivo;30K até 49K;0;126;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2021;Apenas Terceiro
Novembro;Quinta;Chevrolet;Urbano;Homem;Solteiro;26;0;Esportivo;30K até 49K;0;8333;Imprudente;1;11 até 15 anos;0;1 carro;2022;Apenas Terceiro
Agosto;Segunda;Chevrolet;Urbano;Mulher;Solteiro;26;0;Esportivo;30K até 49K;0;14286;Imprudente;mais do que 4;6 até 10 anos;0;1 carro;2023;Apenas Terceiro
Maio;Sexta;Chevrolet;Urbano;Homem;Solteiro;26;1;Sedan;30K até 49K;0;10564;Imprudente;1;11 até 15 anos;0;2 carros;2022;Segurado + Terceiro
Julho;Segunda;Chevrolet;Urbano;Homem;Casado;26;1;Sedan;30K até 49K;0;14867;Cuidadoso;1;11 até 15 anos;0;1 carro;2023;Segurado + Terceiro
Dezembro;Segunda;Chevrolet;Urbano;Homem;Casado;26;1;Sedan;30K até 49K;0;9885;Cuidadoso;nenhum;6 até 10 anos;0;1 carro;2022;Apenas Casco
Setembro;Quinta;Chevrolet;Urbano;Homem;Solteiro;26;1;Esportivo;30K até 49K;0;14802;Cuidadoso;nenhum;6 até 10 anos;0;1 carro;2023;Apenas Terceiro
Maio;Quinta;Chevrolet;Rural;Homem;Solteiro;27;0;Sedan;30K até 49K;1;3589;Cuidadoso;nenhum;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Junho;Sexta;Chevrolet;Rural;Homem;Solteiro;27;0;Sedan;30K até 49K;0;3790;Cuidadoso;nenhum;6 até 10 anos;0;1 carro;2021;Apenas Casco
Setembro;Terça;Chevrolet;Rural;Mulher;Solteiro;27;1;Sedan;30K até 49K;0;6366;Cuidadoso;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Março;Quinta;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;6902;Cuidadoso;mais do que 4;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Novembro;Quarta;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;0;8862;Cuidadoso;nenhum;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Outubro;Terça;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;8999;Cuidadoso;1;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Agosto;Quarta;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;0;4497;Cuidadoso;1;6 até 10 anos;0;1 carro;2021;Apenas Casco
Novembro;Domingo;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;0;833;Cuidadoso;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Casco
Maio;Domingo;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;1;3676;Cuidadoso;de 2 até 4;6 até 10 anos;0;2 carros;2021;Apenas Casco
Abril;Quarta;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;10274;Cuidadoso;nenhum;3 até 5 anos;0;1 carro;2022;Apenas Casco
Maio;Sábado;Chevrolet;Urbano;Mulher;Casado;27;0;Sedan;30K até 49K;0;10222;Cuidadoso;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Maio;Domingo;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;10565;Cuidadoso;1;6 até 10 anos;0;1 carro;2022;Apenas Casco
Outubro;Segunda;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;1;7076;Cuidadoso;mais do que 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Março;Terça;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;12507;Cuidadoso;mais do que 4;6 até 10 anos;0;1 carro;2023;Apenas Casco
Agosto;Sábado;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;0;15151;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2023;Apenas Casco
Julho;Segunda;Chevrolet;Urbano;Mulher;Solteiro;27;0;Esportivo;30K até 49K;0;1868;Imprudente;1;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Janeiro;Quarta;Chevrolet;Urbano;Mulher;Casado;27;0;Esportivo;30K até 49K;0;4517;Imprudente;nenhum;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Maio;Terça;Chevrolet;Urbano;Homem;Casado;27;0;Esportivo;30K até 49K;0;8175;Imprudente;mais do que 4;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Novembro;Quinta;Chevrolet;Urbano;Homem;Casado;27;0;Esportivo;30K até 49K;0;8920;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Maio;Sexta;Chevrolet;Urbano;Homem;Casado;27;0;Esportivo;30K até 49K;0;9752;Imprudente;1;11 até 15 anos;0;1 carro;2022;Apenas Terceiro
Dezembro;Sexta;Chevrolet;Urbano;Homem;Solteiro;27;0;Esportivo;30K até 49K;0;15326;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Março;Sábado;Chevrolet;Urbano;Homem;Casado;27;1;Sedan;30K até 49K;0;2257;Imprudente;1;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Dezembro;Quarta;Chevrolet;Urbano;Mulher;Solteiro;27;1;Sedan;30K até 49K;0;1270;Imprudente;nenhum;6 até 10 anos;0;1 carro;2021;Apenas Casco
Novembro;Quarta;Chevrolet;Urbano;Homem;Solteiro;27;1;Sedan;30K até 49K;0;1547;Imprudente;1;6 até 10 anos;0;1 carro;2021;Apenas Casco
Agosto;Terça;Chevrolet;Urbano;Homem;Casado;27;1;Sedan;30K até 49K;0;2499;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2021;Apenas Casco
Março;Sexta;Chevrolet;Urbano;Mulher;Casado;27;1;Sedan;30K até 49K;0;11028;Imprudente;nenhum;6 até 10 anos;0;1 carro;2022;Apenas Casco
Outubro;Domingo;Chevrolet;Urbano;Homem;Casado;27;1;Esportivo;30K até 49K;0;5763;Imprudente;mais do que 4;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Julho;Sábado;Chevrolet;Rural;Homem;Solteiro;28;0;Esportivo;30K até 49K;0;6364;Imprudente;mais do que 4;6 até 10 anos;0;2 carros;2022;Apenas Terceiro
Maio;Segunda;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;9861;Imprudente;1;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Novembro;Quarta;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;13493;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Janeiro;Quarta;Chevrolet;Urbano;Mulher;Casado;28;0;Sedan;30K até 49K;0;5284;Imprudente;mais do que 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Agosto;Quinta;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;5958;Imprudente;nenhum;6 até 10 anos;0;1 carro;2021;Apenas Casco
Novembro;Sexta;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;2779;Imprudente;1;6 até 10 anos;0;1 carro;2021;Apenas Casco
Abril;Domingo;Chevrolet;Urbano;Homem;Solteiro;28;0;Sedan;30K até 49K;0;2402;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Casco
Outubro;Quarta;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;5082;Imprudente;1;11 até 15 anos;0;1 carro;2021;Apenas Casco
Dezembro;Sábado;Chevrolet;Urbano;Mulher;Casado;28;0;Sedan;30K até 49K;0;10137;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Março;Segunda;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;8579;Imprudente;1;11 até 15 anos;0;1 carro;2022;Apenas Casco
Dezembro;Domingo;Chevrolet;Urbano;Homem;Solteiro;28;0;Esportivo;30K até 49K;0;430;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Janeiro;Segunda;Chevrolet;Urbano;Homem;Solteiro;28;0;Esportivo;30K até 49K;0;11049;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Dezembro;Sábado;Chevrolet;Urbano;Mulher;Solteiro;28;1;Sedan;30K até 49K;0;9807;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Março;Segunda;Chevrolet;Urbano;Homem;Casado;28;1;Sedan;30K até 49K;0;2422;Imprudente;nenhum;6 até 10 anos;0;1 carro;2021;Apenas Casco
Julho;Quinta;Chevrolet;Urbano;Homem;Casado;28;1;Sedan;30K até 49K;0;4511;Imprudente;de 2 até 4;11 até 15 anos;0;3 até 4 carros;2021;Apenas Casco
Outubro;Quinta;Chevrolet;Rural;Mulher;Solteiro;29;1;Sedan;30K até 49K;0;13505;Imprudente;1;3 até 5 anos;1;1 carro;2023;Apenas Casco
Fevereiro;Sábado;Chevrolet;Urbano;Homem;Solteiro;29;0;Sedan;30K até 49K;0;3100;Imprudente;nenhum;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Setembro;Sexta;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;8882;Imprudente;nenhum;3 até 5 anos;0;1 carro;2022;Segurado + Terceiro
Julho;Segunda;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;3863;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Maio;Segunda;Chevrolet;Urbano;Homem;Solteiro;29;0;Sedan;30K até 49K;0;4200;Imprudente;mais do que 4;11 até 15 anos;0;1 carro;2021;Apenas Casco
Agosto;Quarta;Chevrolet;Urbano;Mulher;Solteiro;29;0;Sedan;30K até 49K;0;10145;Imprudente;nenhum;6 até 10 anos;0;1 carro;2022;Apenas Casco
Setembro;Sexta;Chevrolet;Urbano;Mulher;Solteiro;29;0;Sedan;30K até 49K;0;10543;Imprudente;de 2 até 4;6 até 10 anos;0;2 carros;2022;Apenas Casco
Janeiro;Terça;Chevrolet;Urbano;Mulher;Casado;29;0;Sedan;30K até 49K;0;14942;Imprudente;nenhum;11 até 15 anos;0;1 carro;2023;Apenas Casco
Março;Sexta;Chevrolet;Urbano;Homem;Casado;29;0;Esportivo;30K até 49K;0;2942;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Julho;Quarta;Chevrolet;Urbano;Homem;Casado;29;0;Esportivo;30K até 49K;0;4429;Imprudente;de 2 até 4;11 até 15 anos;0;3 até 4 carros;2021;Apenas Terceiro
Outubro;Quinta;Chevrolet;Urbano;Mulher;Solteiro;29;0;Esportivo;30K até 49K;0;11164;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Outubro;Terça;Chevrolet;Urbano;Homem;Solteiro;29;0;Esportivo;30K até 49K;0;6749;Imprudente;mais do que 4;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Novembro;Terça;Chevrolet;Urbano;Homem;Casado;29;0;Esportivo;30K até 49K;0;11515;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Agosto;Segunda;Chevrolet;Urbano;Homem;Solteiro;29;0;Esportivo;30K até 49K;0;15188;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2023;Apenas Terceiro
Novembro;Quinta;Chevrolet;Urbano;Homem;Solteiro;29;0;Esportivo;30K até 49K;0;12459;Imprudente;nenhum;11 até 15 anos;0;1 carro;2023;Apenas Terceiro
Junho;Sexta;Chevrolet;Urbano;Homem;Casado;29;1;Sedan;30K até 49K;0;7220;Imprudente;nenhum;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Novembro;Terça;Chevrolet;Urbano;Mulher;Casado;29;1;Sedan;30K até 49K;0;14911;Imprudente;nenhum;3 até 5 anos;0;2 carros;2023;Segurado + Terceiro
Setembro;Segunda;Chevrolet;Urbano;Mulher;Solteiro;29;1;Sedan;30K até 49K;0;6538;Imprudente;1;11 até 15 anos;0;1 carro;2022;Apenas Casco
Setembro;Sexta;Chevrolet;Urbano;Homem;Solteiro;30;0;Sedan;30K até 49K;0;5725;Imprudente;nenhum;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Abril;Quarta;Chevrolet;Urbano;Mulher;Casado;30;0;Sedan;30K até 49K;1;2822;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Setembro;Domingo;Chevrolet;Urbano;Homem;Casado;30;0;Sedan;30K até 49K;0;9526;Imprudente;1;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Outubro;Quarta;Chevrolet;Urbano;Homem;Solteiro;30;0;Sedan;30K até 49K;0;5749;Imprudente;mais do que 4;11 até 15 anos;0;1 carro;2021;Apenas Casco
Abril;Quarta;Chevrolet;Urbano;Homem;Casado;30;0;Sedan;30K até 49K;0;10715;Imprudente;mais do que 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Março;Segunda;Chevrolet;Urbano;Homem;Solteiro;30;0;Sedan;30K até 49K;0;13959;Imprudente;nenhum;6 até 10 anos;0;1 carro;2023;Apenas Casco
Agosto;Terça;Chevrolet;Urbano;Homem;Solteiro;30;0;Esportivo;30K até 49K;0;1122;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2021;Apenas Terceiro
Dezembro;Segunda;Chevrolet;Urbano;Homem;Casado;30;0;Esportivo;30K até 49K;0;9795;Imprudente;1;3 até 5 anos;0;1 carro;2022;Apenas Terceiro
Julho;Sexta;Chevrolet;Urbano;Homem;Solteiro;30;0;Esportivo;30K até 49K;0;15191;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2023;Apenas Terceiro
Junho;Terça;Chevrolet;Urbano;Homem;Solteiro;30;0;Esportivo;30K até 49K;0;12309;Imprudente;1;11 até 15 anos;0;1 carro;2023;Apenas Terceiro
Outubro;Segunda;Chevrolet;Urbano;Homem;Casado;30;1;Sedan;30K até 49K;0;8077;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Dezembro;Terça;Chevrolet;Urbano;Homem;Solteiro;30;1;Sedan;30K até 49K;0;13012;Imprudente;nenhum;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Junho;Quinta;Chevrolet;Urbano;Mulher;Solteiro;30;1;Sedan;30K até 49K;0;15054;Imprudente;de 2 até 4;3 até 5 anos;0;1 carro;2023;Apenas Casco
Outubro;Quarta;Chevrolet;Urbano;Homem;Solteiro;30;1;Esportivo;30K até 49K;0;4925;Imprudente;mais do que 4;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Setembro;Terça;Chevrolet;Urbano;Mulher;Solteiro;30;1;Esportivo;30K até 49K;0;8539;Imprudente;1;6 até 10 anos;1;1 carro;2022;Apenas Terceiro
Setembro;Sábado;Chevrolet;Rural;Homem;Solteiro;31;0;Sedan;30K até 49K;1;6269;Imprudente;1;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Fevereiro;Sexta;Chevrolet;Rural;Homem;Casado;31;0;Sedan;30K até 49K;0;14131;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2023;Apenas Casco
Outubro;Domingo;Chevrolet;Rural;Homem;Casado;31;1;Sedan;30K até 49K;0;3333;Imprudente;de 2 até 4;11 até 15 anos;0;1 carro;2021;Apenas Casco
Fevereiro;Segunda;Chevrolet;Urbano;Homem;Casado;31;0;Sedan;30K até 49K;0;2234;Imprudente;nenhum;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Agosto;Segunda;Chevrolet;Urbano;Homem;Solteiro;31;0;Sedan;30K até 49K;0;4808;Imprudente;mais do que 4;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Dezembro;Sábado;Chevrolet;Urbano;Homem;Casado;31;0;Sedan;30K até 49K;0;7906;Imprudente;mais do que 4;3 até 5 anos;0;1 carro;2022;Segurado + Terceiro
Abril;Domingo;Chevrolet;Urbano;Homem;Casado;31;0;Sedan;30K até 49K;0;3261;Imprudente;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Casco
Novembro;Sexta;Chevrolet;Urbano;Homem;Casado;31;0;Sedan;30K até 49K;0;4136;Imprudente;nenhum;6 até 10 anos;0;1 carro;2021;Apenas Casco
